"",danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,mode
150,0.328,0.805,4,-6.74,0.0383,0.000938,0.048,0.104,0.264,135.546,4,276200,0
151,0.55,0.952,2,-3.638,0.075,0.00103,0,0.257,0.538,111.066,4,145213,1
152,0.66,0.837,0,-4.315,0.0682,0.000147,6.62e-06,0.0788,0.757,135.158,4,193226,1
153,0.526,0.866,0,-5.822,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266,4,253586,1
154,0.387,0.922,9,-5.192,0.0674,0.00487,0,0.187,0.417,146.478,4,222946,0
155,0.535,0.948,6,-4.19,0.0356,0.00225,0,0.376,0.778,103.183,4,173680,0
156,0.454,0.778,9,-4.225,0.0449,0.00998,0,0.0427,0.704,127.158,4,177946,1
157,0.522,0.889,1,-4.137,0.0461,0.00328,0,0.345,0.852,144.499,4,141133,1
158,0.58,0.972,11,-4.274,0.0589,0.00384,0,0.296,0.926,105.492,4,130813,0
159,0.599,0.946,8,-4.192,0.0378,0.000669,0,0.0973,0.653,108.934,4,173666,1
160,0.593,0.333,9,-14.342,0.046,0.358,0,0.245,0.258,103.537,4,134933,1
161,0.622,0.846,11,-4.831,0.0311,0.00316,0,0.0989,0.914,110.683,4,143626,0
162,0.634,0.599,2,-5.447,0.0365,0.0288,0,0.197,0.312,112.215,4,175440,1
163,0.371,0.914,11,-4.917,0.081,0.000293,8.75e-05,0.0852,0.394,134.982,4,268626,0
164,0.348,0.875,11,-4.758,0.199,0.0341,0,0.117,0.407,169.152,4,202133,0
165,0.216,0.882,11,-5.176,0.0439,0.00147,0,0.308,0.656,189.286,4,193426,0
166,0.455,0.881,11,-5.587,0.0401,0.000566,6.06e-05,0.11,0.201,137.949,4,331200,1
167,0.387,0.922,9,-5.192,0.0674,0.00487,0,0.187,0.417,146.478,4,222946,0
168,0.535,0.948,6,-4.19,0.0356,0.00225,0,0.376,0.778,103.183,4,173680,0
169,0.454,0.778,9,-4.225,0.0449,0.00998,0,0.0427,0.704,127.158,4,177946,1
170,0.522,0.889,1,-4.137,0.0461,0.00328,0,0.345,0.852,144.499,4,141133,1
171,0.58,0.972,11,-4.274,0.0589,0.00384,0,0.296,0.926,105.492,4,130813,0
172,0.599,0.946,8,-4.192,0.0378,0.000669,0,0.0973,0.653,108.934,4,173666,1
173,0.593,0.333,9,-14.342,0.046,0.358,0,0.245,0.258,103.537,4,134933,1
174,0.622,0.846,11,-4.831,0.0311,0.00316,0,0.0989,0.914,110.683,4,143626,0
175,0.634,0.599,2,-5.447,0.0365,0.0288,0,0.197,0.312,112.215,4,175440,1
176,0.371,0.914,11,-4.917,0.081,0.000293,8.75e-05,0.0852,0.394,134.982,4,268626,0
177,0.348,0.875,11,-4.758,0.199,0.0341,0,0.117,0.407,169.152,4,202133,0
178,0.216,0.882,11,-5.176,0.0439,0.00147,0,0.308,0.656,189.286,4,193426,0
179,0.455,0.881,11,-5.587,0.0401,0.000566,6.06e-05,0.11,0.201,137.949,4,331200,1
